# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
2.7141582e+06	1.7133340e+02	4.8419429e+18	1.1453753e-01
2.7228806e+06	1.7124079e+02	4.7963575e+18	1.1339786e-01
2.7315983e+06	1.7114827e+02	4.7511999e+18	1.1226953e-01
2.7403113e+06	1.7105585e+02	4.7064660e+18	1.1115243e-01
2.7490196e+06	1.7096353e+02	4.6621520e+18	1.1004645e-01
2.7577232e+06	1.7087132e+02	4.6182539e+18	1.0895147e-01
2.7664220e+06	1.7077920e+02	4.5747678e+18	1.0786738e-01
2.7751162e+06	1.7068718e+02	4.5316899e+18	1.0679408e-01
2.7838057e+06	1.7059526e+02	4.4890163e+18	1.0573147e-01
2.7924906e+06	1.7050344e+02	4.4467432e+18	1.0467942e-01
2.8011707e+06	1.7041172e+02	4.4048670e+18	1.0363784e-01
2.8098462e+06	1.7032009e+02	4.3633839e+18	1.0260663e-01
2.8185171e+06	1.7022857e+02	4.3222901e+18	1.0158568e-01
2.8271832e+06	1.7013714e+02	4.2815822e+18	1.0057488e-01
2.8358448e+06	1.7008478e+02	4.2402848e+18	9.9574144e-02
2.8445059e+06	1.7008478e+02	4.1980933e+18	9.8583365e-02
2.8531671e+06	1.7008478e+02	4.1563215e+18	9.7602444e-02
2.8618283e+06	1.7008478e+02	4.1149654e+18	9.6631283e-02
2.8704895e+06	1.7008478e+02	4.0740209e+18	9.5669786e-02
2.8791506e+06	1.7008478e+02	4.0334837e+18	9.4717856e-02
2.8878118e+06	1.7008478e+02	3.9933498e+18	9.3775397e-02
2.8964730e+06	1.7008478e+02	3.9536153e+18	9.2842317e-02
2.9051342e+06	1.7008478e+02	3.9142762e+18	9.1918520e-02
2.9137953e+06	1.7008478e+02	3.8753285e+18	9.1003916e-02
2.9224565e+06	1.7008478e+02	3.8367684e+18	9.0098411e-02
2.9311177e+06	1.7008478e+02	3.7985919e+18	8.9201917e-02
2.9397789e+06	1.7008478e+02	3.7607952e+18	8.8314343e-02
2.9484401e+06	1.7008478e+02	3.7233747e+18	8.7435601e-02
2.9571012e+06	1.7008478e+02	3.6863265e+18	8.6565602e-02
2.9657624e+06	1.7008478e+02	3.6496470e+18	8.5704260e-02
2.9744236e+06	1.7008478e+02	3.6133324e+18	8.4851488e-02
2.9830848e+06	1.7008478e+02	3.5773791e+18	8.4007202e-02
2.9917459e+06	1.7008478e+02	3.5417836e+18	8.3171316e-02
3.0004071e+06	1.7008478e+02	3.5065422e+18	8.2343748e-02
3.0090683e+06	1.7008478e+02	3.4716516e+18	8.1524414e-02
3.0177295e+06	1.7008478e+02	3.4371081e+18	8.0713233e-02
3.0263907e+06	1.7008478e+02	3.4029083e+18	7.9910122e-02
3.0350518e+06	1.7008478e+02	3.3690488e+18	7.9115003e-02
3.0437130e+06	1.7008478e+02	3.3355262e+18	7.8327796e-02
3.0523742e+06	1.7008478e+02	3.3023371e+18	7.7548421e-02
3.0610354e+06	1.7008478e+02	3.2694783e+18	7.6776802e-02
3.0696965e+06	1.7008478e+02	3.2369465e+18	7.6012860e-02
3.0783577e+06	1.7008478e+02	3.2047383e+18	7.5256519e-02
3.0870189e+06	1.7008478e+02	3.1728506e+18	7.4507704e-02
3.0956801e+06	1.7008478e+02	3.1412802e+18	7.3766340e-02
3.1043413e+06	1.7008478e+02	3.1100240e+18	7.3032353e-02
3.1130024e+06	1.7008478e+02	3.0790787e+18	7.2305669e-02
3.1216636e+06	1.7008478e+02	3.0484414e+18	7.1586215e-02
3.1303248e+06	1.7008478e+02	3.0181089e+18	7.0873921e-02
3.1389860e+06	1.7008478e+02	2.9880782e+18	7.0168713e-02
3.1476471e+06	1.7008478e+02	2.9583463e+18	6.9470523e-02
3.1563083e+06	1.7008478e+02	2.9289103e+18	6.8779280e-02
3.1649695e+06	1.7008478e+02	2.8997671e+18	6.8094915e-02
3.1736307e+06	1.7008478e+02	2.8709140e+18	6.7417359e-02
3.1822918e+06	1.7008478e+02	2.8423479e+18	6.6746545e-02
3.1909530e+06	1.7008478e+02	2.8140661e+18	6.6082406e-02
3.1996142e+06	1.7008478e+02	2.7860656e+18	6.5424875e-02
3.2082754e+06	1.7008478e+02	2.7583438e+18	6.4773886e-02
